City,County,Population
Munroe Falls,Summit County,"5,080"
Northfield,Summit County,"3,670"
Norton,Summit County,"12,007"
Peninsula,Summit County,558
Stow,Summit County,"34,862"
Tallmadge,Summit County,"17,583"
Twinsburg,Summit County,"19,103"
Uniontown,Summit County,"3,353"
Cortland,Trumbull County,"6,769"
Newton Falls,Trumbull County,"4,481"
Niles,Trumbull County,"18,222"
Warren,Trumbull County,"38,012"
Dennison,Tuscarawas County,"2,596"
Dover,Tuscarawas County,"12,741"
New Philadelphia,Tuscarawas County,"17,434"
Strasburg,Tuscarawas County,"2,691"
Uhrichsville,Tuscarawas County,"5,317"
Marysville,Union County,"24,544"
Van Wert,Van Wert County,"10,662"
Franklin,Warren County,"11,675"
Mason,Warren County,"33,939"
Springboro,Warren County,"18,975"
Belpre,Washington County,"6,386"
Marietta,Washington County,"13,547"
Orrville,Wayne County,"8,461"
Wooster,Wayne County,"26,615"
Montpelier,Williams County,"3,932"
Pioneer,Williams County,"1,395"
Bowling Green,Wood County,"31,719"
North Baltimore,Wood County,"3,557"
Northwood,Wood County,"5,445"
Perrysburg,Wood County,"21,672"
Upper Sandusky,Wyandot County,"6,467"
